name,x,y,year,sex
Mary,-14.550478,-24.367533,1937.0,female
Barbara,-20.228773,-30.449644,1938.0,female
Patricia,-12.513638,-27.643612,1951.0,female
Shirley,-25.685747,-32.530426,1937.0,female
Betty,-26.554688,-32.823013,1937.0,female
Carol,-19.517965,-30.872654,1945.0,female
Nancy,-12.9156475,-27.59511,1947.0,female
Dorothy,-25.114338,-31.018055,1937.0,female
Joan,-24.197727,-32.197823,1937.0,female
Margaret,-16.095747,-19.654814,1937.0,female
Joyce,-21.915186,-30.95904,1941.0,female
Helen,-23.52342,-28.30751,1937.0,female
Marilyn,-22.381994,-30.063192,1937.0,female
Beverly,-17.82116,-30.155857,1937.0,female
Ruth,-21.89283,-25.663294,1937.0,female
Virginia,-20.663136,-25.60105,1937.0,female
Elizabeth,8.046533,-2.6969597,1982.0,female
Janet,-11.346677,-27.312613,1942.0,female
Frances,-23.079178,-29.004242,1937.0,female
Carolyn,-17.830456,-26.878868,1942.0,female
Donna,-4.6150436,-25.82796,1959.0,female
Doris,-24.82742,-31.600283,1937.0,female
Jean,-18.6459,-30.143219,1937.0,female
Martha,-17.549046,-25.361347,1938.0,female
Janice,-14.63305,-29.655775,1946.0,female
Sandra,-8.517879,-25.707737,1946.0,female
Phyllis,-22.378119,-31.664892,1938.0,female
Alice,-23.016306,-24.841227,1938.0,female
Lois,-24.881145,-32.40711,1937.0,female
Ann,-7.919833,-20.938581,1938.0,female
Peggy,-15.355086,-29.942127,1937.0,female
Gloria,-17.600224,-26.556047,1945.0,female
Norma,-21.402113,-27.251354,1937.0,female
Judith,-24.902744,-33.19172,1940.0,female
Marie,-12.62291,-18.003578,1937.0,female
Evelyn,-5.9765196,5.691133,1937.0,female
Dolores,-26.6312,-31.02141,1937.0,female
Rose,-14.7923975,-17.72996,1937.0,female
Anna,4.180235,10.4640665,2001.0,female
Marlene,-22.185564,-24.574045,1937.0,female
Sharon,-8.247749,-26.901953,1943.0,female
Jane,-11.740277,-25.634188,1945.0,female
Mildred,-26.360538,-31.599167,1937.0,female
Geraldine,-25.517101,-31.911083,1939.0,female
Elaine,-16.87179,-25.810064,1945.0,female
Annie,-23.0952,-23.540613,1937.0,female
Catherine,1.0095401,-10.596853,1956.0,female
Linda,-11.427604,-31.203259,1948.0,female
Louise,-23.590319,-30.906248,1937.0,female
Sylvia,-11.425255,-17.266617,1937.0,female
Joanne,-13.3951645,-26.851347,1937.0,female
Ruby,-6.3568926,4.618071,1937.0,female
Eleanor,-7.4072146,4.1352773,1937.0,female
Patsy,-25.89049,-33.180176,1937.0,female
Wanda,-9.133446,-27.022528,1939.0,female
Carole,-27.337814,-32.606194,1942.0,female
Marjorie,-23.787828,-29.800472,1938.0,female
Joann,-15.778765,-26.305473,1937.0,female
Sally,-14.692893,-25.323229,1938.0,female
Arlene,-22.775873,-27.475914,1937.0,female
Kathleen,-4.778374,-23.902885,1949.0,female
Irene,-15.909865,-19.114756,1937.0,female
Loretta,-15.262184,-26.546038,1938.0,female
Bonnie,-11.939795,-27.075462,1942.0,female
Sarah,14.171974,6.8380494,1981.0,female
Roberta,-15.232902,-27.67926,1937.0,female
Charlotte,-5.870549,5.23518,2014.0,female
Delores,-23.799686,-31.558598,1937.0,female
Rita,-10.811789,-26.72218,1949.0,female
Jacqueline,3.5533957,-8.573473,1964.0,female
June,-22.980776,-26.22239,1937.0,female
Darlene,-6.8317075,-25.346111,1958.0,female
Jo,-14.252272,-30.534222,1954.0,female
Edna,-24.085384,-29.635012,1937.0,female
Juanita,-14.51399,-21.3374,1937.0,female
Diane,-5.22163,-26.346704,1955.0,female
Yvonne,-3.6525426,-18.924686,1937.0,female
Thelma,-25.666756,-31.133652,1937.0,female
Kay,-21.487572,-30.795288,1939.0,female
Wilma,-26.953083,-31.905422,1937.0,female
Florence,-26.084805,-30.61615,1937.0,female
Josephine,-6.2971225,4.1473994,1937.0,female
Lorraine,-13.04539,-26.557047,1937.0,female
Lillian,-5.102108,9.351889,2012.0,female
Audrey,-3.9775207,8.011,2013.0,female
Gladys,-24.075245,-28.26404,1937.0,female
Pauline,-21.953873,-27.627125,1937.0,female
Ethel,-26.170973,-32.209637,1937.0,female
Emma,-8.611041,24.071537,2003.0,female
Jeanette,-7.29777,-15.752187,1939.0,female
Judy,-19.933006,-31.981089,1945.0,female
Anne,-0.6996883,-13.070399,1964.0,female
Anita,-2.5430741,-20.723888,1958.0,female
Grace,-1.501975,18.712402,2003.0,female
Theresa,2.8952951,-19.23327,1961.0,female
Edith,-22.494108,-23.803082,1937.0,female
Susan,3.2213068,-23.152956,1954.0,female
Lucille,-25.722239,-28.010815,1937.0,female
Gail,-12.073183,-30.316044,1951.0,female
Clara,-6.583065,4.8484445,1937.0,female
Karen,1.9978422,-21.50393,1956.0,female
Rosalie,-26.37,-28.402159,1938.0,female
Ellen,-8.36447,-18.909975,1946.0,female
Rosemary,-17.095373,-20.576817,1946.0,female
Brenda,1.8638518,-22.094664,1950.0,female
Julia,4.2113323,11.038273,1999.0,female
Sue,-15.210326,-30.3228,1946.0,female
Connie,-4.3275213,-25.419956,1955.0,female
Katherine,9.358664,-0.11353783,1988.0,female
Rebecca,10.826963,-4.1365857,1974.0,female
Kathryn,4.2668915,-7.904423,1951.0,female
Glenda,-13.265015,-28.740747,1944.0,female
Suzanne,0.9288036,-20.04564,1946.0,female
Diana,1.9187367,-9.956128,1946.0,female
Eileen,-9.694418,-20.940775,1943.0,female
Sheila,2.185334,-20.752415,1963.0,female
Christine,8.151134,-12.600312,1968.0,female
Maria,9.12231,-2.9988935,1966.0,female
Pamela,5.2719936,-21.514791,1954.0,female
Dianne,-11.423385,-30.280853,1945.0,female
Paula,3.1256323,-20.583012,1963.0,female
Marcia,-11.347214,-27.976479,1951.0,female
Cheryl,5.4798527,-22.19085,1958.0,female
Sherry,4.1182733,-20.53113,1963.0,female
Laura,10.669448,-7.865504,1968.0,female
Cynthia,6.062898,-19.483786,1957.0,female
